Pasteur,47.65662400,6.83496500
Paul Bert,47.65442400,6.84720700
Pensées,47.64647000,6.93464300
Petit Pont,47.68635800,6.82572000
Petit-Croix,47.61365400,6.97363000
Petitefontaine,47.72151600,7.00771600
Petitmagny,47.72191000,6.89800700
Phaffans,47.66014700,6.93574000
Philippe Grille,47.64206600,6.87200000
Picard,47.64404700,6.86882500
Pierre Engel,47.61647800,6.84064700
Pins,47.63784500,6.82947000
Piscine,47.51987400,7.00127400
Pistolet,47.70955900,6.92555400
Place,47.53915300,6.96551100
Planchettes,47.68126700,6.80236000
Poincaré,47.62262400,6.84986300
Pointée,47.67675200,6.79265300
Pommerot,47.67025600,6.94254200
Pont,47.72953800,6.97842900
Pont Blanc,47.66318800,6.85060200
Pont Canal,47.62287700,6.83882100
Pont Suarcine,47.56323600,7.08233200
Popins,47.49438300,6.91377200
Port de Botans,47.59844200,6.85957900
Porte de Belfort,47.64095100,6.91724000
Porte du Vallon,47.65025900,6.88951900
Pouchotte,47.68791500,6.83154200
Praille,47.60872000,6.91349800
Prairie,47.70567200,6.81908100
Primevères,47.64270400,6.93340900
Pré Sergent,47.49890800,6.91295600
Prés d'Aumont,47.67848700,6.84963900
Prés Pignot,47.71951300,6.92799400
Pérouse,47.63674100,6.89303300
Rabin,47.64172900,6.85617500
Ragie Rondat,47.61545600,6.96894600
Rechotte,47.59198700,6.95616000
Recouvrance,47.57409400,6.98138700
Renan,47.62646000,6.85177200
Renaud,47.67451300,6.79514100
Reppe,47.66070100,7.02557900
Restaurant,47.47118700,6.96302200
Reydel,47.73033100,6.84722100
Riervescemont,47.76499700,6.88067700
Romagny,47.71744400,6.96827500
Romaine,47.66114600,6.87097200
Rondages,47.53804300,6.92114200
Roppe,47.66956200,6.91892800
Rosemont,47.74220400,6.83633400
Rosemontoise,47.68615100,6.86138100
Roseraie,47.65053700,6.85204100
Rouches,47.67078400,6.92398500
Route d'Auxelles,47.70767100,6.82145700
Route d'Eloie,47.71715100,6.87812100
Route d'Etueffont,47.73536700,6.96411300
Route d'Evette,47.68935100,6.83568000
Route d'Urcerey,47.61637400,6.82944900
Route de Badevel,47.49068400,6.92632900
Route de Belfort,47.69518000,6.95900900
Route de Bermont,47.58413400,6.85789400
Route de Bâle,47.51846900,7.08503700
Route de Chèvremont,47.61005700,6.91473100
Route de Courtelevant,47.51092700,7.10465200
Route de Florimont,47.50994100,7.00869100
Route de Grosne,47.56010900,7.00910000
Route de la Forêt,47.66196900,6.78330700
Route de Meroux,47.58802600,6.88646800
Route de Montbéliard,47.50457900,6.98904400
